# Source coordinates
# Source	RA			DEC
# Name		Deg			Deg
# --------	----------	----------
IC10		5.072250	59.303778
M31			10.684793	41.269065
NGC4449		187.046261	44.093630
NGC253		11.888002	-25.288220
NGC891		35.639224	42.349146
M77			40.669629	-0.013281
NGC1097		41.579375	-30.274889
NGC1140		43.639922	-10.027759
NGC1569		67.704412	64.847944
Mrk1089		75.407333	-4.257889
NGC1808		76.926417	-37.513056
IIZw40		88.927500	3.392222
He2-010		129.063060	-26.409380
M82			148.969687	69.679383
NGC3256		156.963624	-43.903748
Mrk33		158.133320	54.400569
Cen_A		201.365063	-43.019112
M51			202.484167	47.230556
M83			204.253958	-29.865417
NGC5253		204.983180	-31.640108
NGC6946		308.718015	60.153915
NGC7714		354.058744	2.155161
Mrk331		357.861677	20.58607
